Country,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,Age,ConvertedCompYearly
United States of America,Post-grad,30,15,Front-end Developer,499.0,35.0,150000.0
United States of America,No bachelors,13,12,Academic Researcher,499.0,45.0,120000.0
Canada,Bachelors,6,1,Front-end Developer,99.0,25.0,49160.0
United States of America,No bachelors,25,20,Front-end Developer,99.0,35.0,250000.0
Other,No bachelors,1,0,Front-end Developer,499.0,25.0,6000.0
India,Bachelors,7,4,Full-stack Developer,99.0,25.0,20943.0
Other,No bachelors,9,9,Front-end Developer,9999.0,25.0,55130.0
Other,No bachelors,15,25,Other,19.0,45.0,10596.0
Germany,No bachelors,10,3,Other,499.0,25.0,80241.0
United States of America,Bachelors,15,5,Other,499.0,25.0,165000.0
Germany,No bachelors,25,20,Full-stack Developer,4999.0,35.0,77831.0
Other,No bachelors,17,11,Front-end Developer,499.0,35.0,32429.0
Brazil,No bachelors,10,1,Other,499.0,18.0,6876.0
United States of America,Bachelors,38,30,Front-end Developer,499.0,55.0,110000.0
Other,No bachelors,30,28,Full-stack Developer,19.0,55.0,112884.0
United Kingdom of Great Britain and Northern Ireland,No bachelors,50,30,Other,499.0,45.0,69800.0
United States of America,No bachelors,10,3,Front-end Developer,19.0,25.0,42000.0
Brazil,No bachelors,10,2,Full-stack Developer,499.0,25.0,6048.0
United States of America,No bachelors,35,15,Other,9999.0,35.0,100000.0
United States of America,Bachelors,10,6,Front-end Developer,99.0,35.0,127000.0
United States of America,No bachelors,11,10,Front-end Developer,499.0,35.0,130000.0
United States of America,No bachelors,24,24,Front-end Developer,499.0,45.0,50000.0
United States of America,No bachelors,26,22,Front-end Developer,99.0,35.0,170000.0
United States of America,Bachelors,4,2,Front-end Developer,19.0,25.0,75000.0
Other,No bachelors,3,3,Data Scientist or ML Engr.,99.0,25.0,28248.0
United States of America,Bachelors,32,16,Other,4999.0,35.0,90000.0
Other,Bachelors,10,4,Full-stack Developer,99.0,25.0,59454.0
United States of America,Bachelors,16,9,Front-end Developer,1.0,25.0,105000.0
Other,No bachelors,10,3,Full-stack Developer,499.0,18.0,7764.0
Brazil,Bachelors,7,3,Front-end Developer,499.0,18.0,27492.0
United States of America,No bachelors,9,1,Front-end Developer,499.0,18.0,100000.0
Other,No bachelors,10,3,Full-stack Developer,4999.0,25.0,33252.0
Other,No bachelors,20,20,Front-end Developer,99.0,35.0,95000.0
India,Bachelors,13,5,Full-stack Developer,499.0,25.0,25128.0
United States of America,Bachelors,12,10,Front-end Developer,99.0,25.0,150000.0
Brazil,No bachelors,12,8,Front-end Developer,499.0,25.0,26112.0
United States of America,Bachelors,6,0,Front-end Developer,499.0,18.0,170000.0
United States of America,Bachelors,6,3,Data Scientist or ML Engr.,499.0,25.0,88000.0
India,Bachelors,14,9,Front-end Developer,4999.0,25.0,32112.0
Canada,No bachelors,10,5,Front-end Developer,499.0,25.0,13600.0
Other,No bachelors,11,1,Front-end Developer,99.0,18.0,20200.0
Other,No bachelors,12,2,Front-end Developer,499.0,18.0,31824.0
United States of America,No bachelors,10,2,Data Scientist or ML Engr.,499.0,45.0,123500.0
Switzerland,No bachelors,16,6,Front-end Developer,499.0,25.0,81720.0
Other,No bachelors,4,0,Other,99.0,18.0,14268.0
India,Bachelors,5,0,Front-end Developer,499.0,18.0,5585.0
Other,Bachelors,5,3,Front-end Developer,499.0,25.0,9888.0
Other,No bachelors,6,4,Front-end Developer,4999.0,25.0,26520.0
Other,No bachelors,25,20,Full-stack Developer,499.0,35.0,53880.0
Other,Bachelors,6,0,Software QA,499.0,18.0,12264.0
United States of America,Bachelors,5,2,Front-end Developer,499.0,18.0,84000.0
United States of America,Bachelors,18,10,Front-end Developer,99.0,25.0,250000.0
United States of America,Bachelors,4,1,Front-end Developer,499.0,18.0,100000.0
United States of America,Bachelors,9,5,Front-end Developer,99.0,25.0,130000.0
Israel,Bachelors,22,18,Front-end Developer,499.0,45.0,122580.0
Other,No bachelors,15,8,Data Scientist or ML Engr.,4999.0,25.0,29832.0
Other,No bachelors,5,4,Academic Researcher,499.0,25.0,20760.0
Brazil,Bachelors,13,2,Other,99.0,18.0,6876.0
Other,No bachelors,16,10,Other,499.0,25.0,19452.0
Germany,No bachelors,25,20,Full-stack Developer,499.0,35.0,86478.0
United States of America,No bachelors,8,4,Other,499.0,25.0,130000.0
United Kingdom of Great Britain and Northern Ireland,Bachelors,35,25,Full-stack Developer,499.0,35.0,90482.0
United States of America,No bachelors,31,16,Software QA,4999.0,35.0,450000.0
Other,Bachelors,7,2,Front-end Developer,499.0,25.0,16572.0
Other,No bachelors,9,5,Full-stack Developer,19.0,25.0,9672.0
India,Bachelors,5,4,Full-stack Developer,99.0,25.0,16754.0
Other,No bachelors,27,27,Front-end Developer,19.0,45.0,30792.0
United States of America,Bachelors,22,14,Full-stack Developer,499.0,25.0,175000.0
Germany,Bachelors,12,5,Full-stack Developer,19.0,25.0,54049.0
Ukraine,Bachelors,6,4,Front-end Developer,99.0,18.0,60000.0
Germany,No bachelors,15,0,Full-stack Developer,499.0,25.0,55130.0
Other,No bachelors,30,20,Front-end Developer,499.0,35.0,75527.0
Sweden,Bachelors,5,2,Front-end Developer,19.0,18.0,61368.0
United States of America,Bachelors,14,12,Full-stack Developer,99.0,25.0,120000.0
United States of America,Bachelors,3,2,Front-end Developer,499.0,25.0,85000.0
Other,Bachelors,9,5,Front-end Developer,99.0,25.0,17652.0
Other,Post-grad,15,10,Front-end Developer,4999.0,35.0,41568.0
Sweden,No bachelors,10,3,Data Scientist or ML Engr.,499.0,25.0,55224.0
Germany,No bachelors,24,16,Front-end Developer,99.0,35.0,77832.0
Canada,No bachelors,5,1,Other,499.0,18.0,41597.0
Brazil,No bachelors,7,1,Data Scientist or ML Engr.,499.0,18.0,24744.0
Other,Bachelors,11,11,Full-stack Developer,4999.0,25.0,92964.0
United Kingdom of Great Britain and Northern Ireland,No bachelors,30,20,Front-end Developer,99.0,45.0,84019.0
Other,Bachelors,15,10,Front-end Developer,499.0,25.0,9228.0
United Kingdom of Great Britain and Northern Ireland,Bachelors,21,18,Front-end Developer,499.0,35.0,58167.0
France,Post-grad,20,15,Other,499.0,35.0,67452.0
Other,Bachelors,16,9,Software QA,499.0,35.0,42012.0
Canada,Bachelors,10,6,Front-end Developer,19.0,35.0,64287.0
Germany,Bachelors,10,5,Front-end Developer,9999.0,25.0,70264.0
Canada,Bachelors,12,7,Front-end Developer,99.0,25.0,91514.0
Canada,No bachelors,10,6,Front-end Developer,99.0,25.0,121010.0
Canada,No bachelors,8,1,Front-end Developer,19.0,18.0,43560.0
Italy,No bachelors,23,18,Front-end Developer,19.0,45.0,29832.0
United States of America,No bachelors,6,4,Full-stack Developer,499.0,18.0,70000.0
Brazil,No bachelors,19,13,Full-stack Developer,4999.0,35.0,71472.0
Other,Bachelors,5,2,Front-end Developer,99.0,18.0,16920.0
Other,Bachelors,15,10,Other,499.0,25.0,47088.0
United States of America,No bachelors,18,18,Full-stack Developer,9999.0,35.0,180000.0
United States of America,No bachelors,20,13,Full-stack Developer,99.0,25.0,85000.0
United States of America,Bachelors,21,19,Full-stack Developer,4999.0,45.0,90000.0
Other,No bachelors,3,1,Full-stack Developer,4999.0,25.0,46704.0
United States of America,Bachelors,11,8,Full-stack Developer,499.0,25.0,150000.0
Other,No bachelors,6,6,Front-end Developer,499.0,35.0,47724.0
Canada,Bachelors,6,2,Data Scientist or ML Engr.,99.0,18.0,55211.0
United States of America,Bachelors,10,8,Full-stack Developer,499.0,25.0,136500.0
India,No bachelors,5,3,Full-stack Developer,499.0,18.0,9720.0
United States of America,Bachelors,20,10,Full-stack Developer,99.0,25.0,300000.0
France,No bachelors,18,14,Other,499.0,35.0,713448.0
China,Bachelors,24,15,Front-end Developer,4999.0,35.0,85735.0
Other,Post-grad,30,7,Front-end Developer,99.0,35.0,64859.0
India,Bachelors,6,1,Full-stack Developer,499.0,25.0,85440.0
Canada,Bachelors,18,13,Full-stack Developer,4999.0,35.0,67312.0
United States of America,Bachelors,9,4,Full-stack Developer,499.0,25.0,85000.0
United States of America,Bachelors,10,5,Other,499.0,25.0,70000.0
Canada,Bachelors,8,4,Front-end Developer,499.0,18.0,52942.0
United States of America,No bachelors,13,6,Full-stack Developer,19.0,25.0,80000.0
United States of America,Bachelors,7,5,Full-stack Developer,499.0,25.0,290000.0
Other,No bachelors,12,6,Other,499.0,25.0,36252.0
Germany,No bachelors,11,7,Front-end Developer,499.0,25.0,90802.0
United Kingdom of Great Britain and Northern Ireland,Bachelors,20,10,Full-stack Developer,499.0,25.0,103408.0
United States of America,Bachelors,5,2,Data Scientist or ML Engr.,99.0,18.0,135000.0
United States of America,No bachelors,10,8,Front-end Developer,499.0,25.0,150000.0
Other,No bachelors,13,8,Front-end Developer,499.0,35.0,28800.0
Russian Federation,Bachelors,10,4,Front-end Developer,99.0,25.0,18876.0
United States of America,Post-grad,20,17,Full-stack Developer,99.0,35.0,160000.0
United States of America,Bachelors,8,8,Front-end Developer,19.0,25.0,87500.0
France,No bachelors,25,15,Front-end Developer,4999.0,35.0,54049.0
India,No bachelors,11,8,Other,99.0,25.0,62828.0
United States of America,Bachelors,15,10,Front-end Developer,499.0,25.0,134000.0
Other,Bachelors,20,13,Full-stack Developer,499.0,35.0,84312.0
United States of America,Post-grad,15,10,Front-end Developer,4999.0,35.0,190000.0
Netherlands,Bachelors,6,2,Front-end Developer,499.0,18.0,33510.0
United States of America,No bachelors,21,10,Front-end Developer,4999.0,35.0,69000.0
United States of America,Bachelors,21,9,Front-end Developer,99.0,25.0,150000.0
United States of America,No bachelors,10,1,Full-stack Developer,499.0,18.0,80000.0
Other,Bachelors,7,4,Front-end Developer,99.0,25.0,15408.0
United States of America,Bachelors,16,12,Front-end Developer,9999.0,35.0,130000.0
Spain,Bachelors,20,16,Front-end Developer,499.0,35.0,32429.0
Brazil,Bachelors,17,15,Front-end Developer,499.0,35.0,13740.0
Canada,No bachelors,7,3,Front-end Developer,19.0,18.0,70337.0
India,Bachelors,10,4,Front-end Developer,499.0,25.0,58639.0
United States of America,No bachelors,45,45,Front-end Developer,499.0,65.0,95000.0
United States of America,Post-grad,10,5,Other,19.0,35.0,56000.0
Canada,Bachelors,10,3,Other,99.0,18.0,55060.0
United States of America,Bachelors,7,4,Front-end Developer,499.0,25.0,85000.0
Other,No bachelors,12,10,Front-end Developer,19.0,25.0,106092.0
United States of America,No bachelors,5,4,Front-end Developer,499.0,25.0,120000.0
Other,Bachelors,28,23,Front-end Developer,499.0,35.0,62268.0
United Kingdom of Great Britain and Northern Ireland,Bachelors,11,1,Full-stack Developer,499.0,18.0,55065.0
Brazil,No bachelors,18,14,Front-end Developer,499.0,25.0,22536.0
United States of America,No bachelors,11,8,Academic Researcher,99.0,25.0,210000.0
United States of America,No bachelors,10,5,Front-end Developer,499.0,25.0,1555728.0
Other,Post-grad,31,27,Front-end Developer,499.0,45.0,159203.0
United States of America,No bachelors,20,20,Front-end Developer,499.0,45.0,85000.0
Germany,No bachelors,15,8,Full-stack Developer,499.0,25.0,38916.0
Canada,Bachelors,12,8,Full-stack Developer,499.0,25.0,75631.0
Other,Bachelors,13,8,Front-end Developer,499.0,25.0,31308.0
United States of America,No bachelors,7,5,Front-end Developer,499.0,25.0,124000.0
Other,Bachelors,10,8,Front-end Developer,499.0,35.0,46800.0
Other,No bachelors,10,5,Full-stack Developer,19.0,35.0,60787.0
Other,No bachelors,11,9,Front-end Developer,499.0,25.0,27096.0
United States of America,Bachelors,18,12,Full-stack Developer,99.0,25.0,102500.0
Other,Bachelors,23,12,Front-end Developer,499.0,35.0,77832.0
Other,No bachelors,3,1,Front-end Developer,499.0,25.0,2328.0
Other,Bachelors,16,7,Full-stack Developer,99.0,25.0,58104.0
Other,No bachelors,7,3,Front-end Developer,4999.0,25.0,43239.0
Germany,No bachelors,8,2,Full-stack Developer,499.0,18.0,15564.0
Other,Bachelors,12,7,Front-end Developer,99.0,25.0,8400.0
Italy,No bachelors,10,7,Front-end Developer,4999.0,25.0,32429.0
United States of America,No bachelors,11,7,Other,499.0,25.0,210000.0
Other,No bachelors,2,0,Full-stack Developer,99.0,18.0,5040.0
Sweden,No bachelors,29,16,Front-end Developer,99.0,35.0,64440.0
Other,Bachelors,10,15,Front-end Developer,499.0,25.0,35592.0
United Kingdom of Great Britain and Northern Ireland,No bachelors,11,2,Other,4999.0,18.0,341244.0
Canada,No bachelors,15,6,Front-end Developer,99.0,25.0,37816.0
Other,No bachelors,35,35,Front-end Developer,499.0,45.0,69468.0
United States of America,Bachelors,11,11,Front-end Developer,499.0,35.0,155000.0
United States of America,Bachelors,17,11,Front-end Developer,99.0,35.0,98500.0
Other,Bachelors,6,3,Front-end Developer,499.0,25.0,37056.0
Germany,No bachelors,25,5,Full-stack Developer,99.0,35.0,75240.0
United States of America,Bachelors,7,4,Full-stack Developer,499.0,25.0,90000.0
Other,No bachelors,35,25,Front-end Developer,499.0,45.0,84312.0
United States of America,Bachelors,37,27,Front-end Developer,9999.0,45.0,132000.0
United States of America,No bachelors,25,18,Other,4999.0,35.0,205000.0
United States of America,Bachelors,35,33,Front-end Developer,9999.0,55.0,240000.0
Italy,No bachelors,12,8,Full-stack Developer,19.0,25.0,25944.0
Other,Bachelors,15,11,Front-end Developer,99.0,25.0,24396.0
United States of America,Bachelors,19,19,SRE or Devops,499.0,25.0,198000.0
United Kingdom of Great Britain and Northern Ireland,Bachelors,22,16,Front-end Developer,4999.0,45.0,125382.0
Other,Bachelors,5,1,Full-stack Developer,9999.0,25.0,62760.0
United States of America,Bachelors,12,0,Full-stack Developer,99.0,18.0,66000.0
United States of America,No bachelors,10,4,Front-end Developer,499.0,25.0,200000.0
United States of America,No bachelors,25,17,Full-stack Developer,99.0,35.0,170000.0
Italy,No bachelors,9,3,SRE or Devops,499.0,25.0,38915.0
Germany,No bachelors,16,14,Full-stack Developer,19.0,35.0,91883.0
Other,Bachelors,10,7,Full-stack Developer,99.0,25.0,12924.0
United States of America,Bachelors,11,7,Full-stack Developer,499.0,25.0,240000.0
Other,Bachelors,12,7,Other,9999.0,25.0,42804.0
United States of America,No bachelors,8,8,SRE or Devops,499.0,25.0,180000.0
Germany,Bachelors,10,5,Front-end Developer,499.0,25.0,70264.0
Other,No bachelors,8,4,Other,19.0,25.0,12000.0
United States of America,Bachelors,22,17,Front-end Developer,499.0,35.0,124000.0
United States of America,No bachelors,16,14,Front-end Developer,19.0,35.0,121000.0
Other,Bachelors,25,20,Front-end Developer,4999.0,45.0,75000.0
Other,Bachelors,10,4,Front-end Developer,499.0,25.0,12000.0
Canada,Bachelors,6,1,Other,9999.0,25.0,59749.0
Canada,Bachelors,27,23,Other,499.0,45.0,80169.0
United States of America,Bachelors,5,4,Front-end Developer,99.0,25.0,145000.0
Other,No bachelors,4,0,Front-end Developer,499.0,18.0,5244.0
Canada,No bachelors,10,3,Data Scientist or ML Engr.,99.0,25.0,75631.0
Turkey,Bachelors,17,9,Full-stack Developer,499.0,25.0,57204.0
United Kingdom of Great Britain and Northern Ireland,No bachelors,6,1,Other,499.0,25.0,45241.0
United States of America,Bachelors,6,3,Full-stack Developer,4999.0,25.0,1054644.0
Other,Bachelors,8,2,Front-end Developer,99.0,25.0,7164.0
United States of America,No bachelors,18,15,Front-end Developer,99.0,25.0,155000.0
Brazil,No bachelors,3,2,Full-stack Developer,499.0,18.0,19927.0
Brazil,Bachelors,20,14,Full-stack Developer,9999.0,35.0,42378.0
Russian Federation,Bachelors,12,5,Front-end Developer,9999.0,25.0,42468.0
United States of America,No bachelors,25,7,Other,499.0,35.0,100000.0
United States of America,Bachelors,5,1,Full-stack Developer,4999.0,25.0,45000.0
United States of America,Bachelors,4,3,Full-stack Developer,499.0,25.0,84000.0
Other,No bachelors,18,16,Full-stack Developer,19.0,35.0,47808.0
United States of America,Post-grad,45,35,Academic Researcher,4999.0,65.0,150000.0
Germany,Bachelors,12,6,Front-end Developer,499.0,25.0,86478.0
Other,No bachelors,21,8,Front-end Developer,499.0,35.0,13896.0
United States of America,Bachelors,23,19,Front-end Developer,499.0,35.0,112000.0
Sweden,No bachelors,40,24,Front-end Developer,499.0,45.0,83460.0
United States of America,No bachelors,18,10,Front-end Developer,19.0,35.0,140000.0
Other,No bachelors,25,15,Front-end Developer,99.0,35.0,37632.0
Other,Bachelors,6,2,Full-stack Developer,4999.0,25.0,28416.0
Canada,Bachelors,8,4,Front-end Developer,499.0,25.0,49160.0
Netherlands,Bachelors,6,0,Front-end Developer,19.0,18.0,37824.0
Canada,No bachelors,14,14,Full-stack Developer,499.0,35.0,136136.0
United States of America,No bachelors,25,13,Front-end Developer,9999.0,35.0,130000.0
United States of America,Bachelors,8,3,Front-end Developer,99.0,25.0,80000.0
Other,Bachelors,4,3,Other,99.0,25.0,14112.0
United States of America,Bachelors,3,0,Front-end Developer,499.0,25.0,73000.0
Other,No bachelors,6,1,Front-end Developer,99.0,18.0,5652.0
United States of America,Bachelors,6,3,Front-end Developer,4999.0,25.0,105000.0
Germany,No bachelors,32,10,Software QA,4999.0,35.0,58373.0
Brazil,Bachelors,26,15,Front-end Developer,9999.0,35.0,91628.0
United States of America,Bachelors,10,8,Full-stack Developer,499.0,35.0,150000.0
Other,Bachelors,5,0,Front-end Developer,19.0,25.0,3108.0
United States of America,Bachelors,12,8,Front-end Developer,499.0,25.0,380000.0
United States of America,Bachelors,6,2,Full-stack Developer,499.0,18.0,1980000.0
Other,Bachelors,7,6,Front-end Developer,99.0,25.0,26520.0
Brazil,No bachelors,5,3,Front-end Developer,499.0,25.0,20616.0
Turkey,Post-grad,17,13,Front-end Developer,99.0,35.0,32544.0
Spain,Bachelors,1,0,Full-stack Developer,499.0,25.0,17296.0
Other,No bachelors,7,3,Full-stack Developer,19.0,18.0,4200.0
United Kingdom of Great Britain and Northern Ireland,No bachelors,7,3,Full-stack Developer,19.0,25.0,59459.0
France,No bachelors,9,1,Full-stack Developer,499.0,18.0,32424.0
United States of America,No bachelors,5,2,Other,9999.0,25.0,200000.0
Germany,No bachelors,12,5,Front-end Developer,99.0,25.0,75669.0
Other,Bachelors,25,19,Front-end Developer,99.0,45.0,43032.0
United States of America,No bachelors,3,2,Full-stack Developer,499.0,35.0,65000.0
United States of America,Bachelors,10,3,Full-stack Developer,499.0,25.0,99000.0
United States of America,Bachelors,25,22,Front-end Developer,499.0,45.0,186000.0
United States of America,Bachelors,18,15,Full-stack Developer,19.0,35.0,120000.0
Russian Federation,Bachelors,16,13,Front-end Developer,499.0,25.0,55047.0
Israel,Bachelors,9,8,Front-end Developer,19.0,35.0,120000.0
India,Bachelors,12,6,Front-end Developer,4999.0,25.0,18150.0
Sweden,Bachelors,10,10,Front-end Developer,499.0,25.0,49092.0
United States of America,Bachelors,5,4,Front-end Developer,499.0,25.0,74000.0
India,No bachelors,14,7,Other,9999.0,25.0,25131.0
India,Bachelors,5,3,Front-end Developer,499.0,25.0,21641.0
Other,Bachelors,23,11,Front-end Developer,499.0,35.0,55756.0
United States of America,Bachelors,12,10,Front-end Developer,499.0,25.0,131000.0
Brazil,Bachelors,20,16,Full-stack Developer,9999.0,35.0,41232.0
Other,Bachelors,20,6,Front-end Developer,499.0,35.0,100822.0
United States of America,No bachelors,22,22,Front-end Developer,4999.0,45.0,135000.0
Other,No bachelors,10,4,Other,19.0,18.0,22800.0
Brazil,No bachelors,19,15,Front-end Developer,9999.0,35.0,27492.0
Other,Bachelors,22,12,Front-end Developer,99.0,35.0,48263.0
Other,Bachelors,20,11,Software QA,99.0,35.0,10944.0
France,Bachelors,14,11,SRE or Devops,99.0,25.0,93397.0
United States of America,Bachelors,6,3,Other,499.0,25.0,115000.0
Other,No bachelors,23,13,Full-stack Developer,9999.0,35.0,95835.0
United States of America,No bachelors,12,8,Full-stack Developer,499.0,25.0,6000000.0
Other,No bachelors,8,6,Front-end Developer,499.0,25.0,32316.0
Germany,No bachelors,25,18,Front-end Developer,499.0,45.0,129718.0
United States of America,No bachelors,12,10,Front-end Developer,499.0,45.0,125000.0
Other,No bachelors,18,8,Full-stack Developer,499.0,25.0,97260.0
United States of America,Bachelors,2,0,Full-stack Developer,499.0,18.0,21600.0
Turkey,Bachelors,12,7,Other,499.0,25.0,82836.0
Other,No bachelors,6,4,Front-end Developer,99.0,25.0,38916.0
India,Bachelors,5,0,Other,99.0,18.0,8377.0
United States of America,Bachelors,7,3,Full-stack Developer,99.0,25.0,127500.0
Other,No bachelors,7,5,Full-stack Developer,4999.0,25.0,20400.0
United Kingdom of Great Britain and Northern Ireland,No bachelors,20,12,Front-end Developer,499.0,25.0,161574.0
United States of America,Bachelors,19,19,Front-end Developer,4999.0,35.0,157500.0
Other,No bachelors,35,32,Full-stack Developer,499.0,45.0,38928.0
Germany,No bachelors,10,4,Other,499.0,25.0,86478.0
Other,No bachelors,5,3,Front-end Developer,4999.0,18.0,33780.0
United States of America,Bachelors,39,36,Full-stack Developer,4999.0,55.0,170000.0
Canada,No bachelors,8,3,Other,499.0,25.0,68068.0
Other,No bachelors,20,15,Front-end Developer,4999.0,35.0,67452.0
Other,Bachelors,35,30,Front-end Developer,499.0,55.0,45396.0
United States of America,Bachelors,8,0,Other,99.0,18.0,55000.0
Other,No bachelors,14,8,Front-end Developer,4999.0,25.0,41568.0
Brazil,No bachelors,23,19,Other,99.0,45.0,24744.0
United States of America,Bachelors,23,15,Front-end Developer,19.0,25.0,155000.0
Other,No bachelors,6,3,Front-end Developer,99.0,25.0,13416.0
Germany,No bachelors,10,7,Front-end Developer,99.0,25.0,75669.0
Other,Bachelors,22,17,Front-end Developer,499.0,35.0,17652.0
Other,No bachelors,33,20,Other,499.0,45.0,34505.0
United States of America,Bachelors,25,12,Front-end Developer,499.0,35.0,100000.0
Germany,No bachelors,30,25,Full-stack Developer,499.0,55.0,108098.0
Canada,No bachelors,12,6,Front-end Developer,499.0,25.0,90758.0
Brazil,No bachelors,35,20,Front-end Developer,99.0,45.0,30240.0
Russian Federation,Post-grad,15,13,Full-stack Developer,499.0,25.0,56808.0
United Kingdom of Great Britain and Northern Ireland,No bachelors,3,0,Front-end Developer,99.0,18.0,86478.0
Other,Bachelors,11,7,Front-end Developer,99.0,25.0,28260.0
United States of America,No bachelors,22,10,Front-end Developer,499.0,25.0,99357.0
United States of America,No bachelors,20,8,Full-stack Developer,499.0,25.0,120000.0
United States of America,No bachelors,15,1,Front-end Developer,499.0,25.0,300000.0
United States of America,Bachelors,7,5,Front-end Developer,499.0,25.0,84000.0
United States of America,Bachelors,25,16,Front-end Developer,499.0,35.0,140000.0
United States of America,Bachelors,15,9,Other,499.0,25.0,195000.0
Switzerland,No bachelors,13,9,Front-end Developer,99.0,25.0,119946.0
United States of America,Bachelors,9,7,Full-stack Developer,499.0,25.0,87000.0
Brazil,Bachelors,20,15,Data Scientist or ML Engr.,9999.0,35.0,41232.0
United States of America,Bachelors,8,0,Front-end Developer,19.0,18.0,105000.0
Ukraine,Bachelors,7,4,Front-end Developer,4999.0,18.0,36000.0
Other,Bachelors,11,8,Front-end Developer,499.0,25.0,471396.0
Germany,No bachelors,6,5,Full-stack Developer,99.0,25.0,64480.0
United States of America,Bachelors,14,2,Front-end Developer,99.0,25.0,147500.0
United Kingdom of Great Britain and Northern Ireland,Bachelors,3,0,Front-end Developer,499.0,18.0,32315.0
Canada,Bachelors,15,11,Other,499.0,35.0,64287.0
Other,Bachelors,10,6,Front-end Developer,99.0,25.0,7584.0
United States of America,No bachelors,20,20,Front-end Developer,9999.0,35.0,10000000.0
Other,No bachelors,7,5,Front-end Developer,499.0,25.0,77832.0
Other,Bachelors,3,2,Front-end Developer,9999.0,35.0,35316.0
United Kingdom of Great Britain and Northern Ireland,Bachelors,40,36,Front-end Developer,19.0,55.0,58167.0
Turkey,No bachelors,12,9,Front-end Developer,499.0,25.0,78900.0
United States of America,Bachelors,2,2,Full-stack Developer,499.0,25.0,75000.0
United States of America,Bachelors,10,5,Other,499.0,45.0,46000.0
United States of America,No bachelors,20,8,Front-end Developer,499.0,35.0,85000.0
United States of America,No bachelors,24,22,Full-stack Developer,99.0,45.0,95162.0
United Kingdom of Great Britain and Northern Ireland,No bachelors,7,5,Front-end Developer,9999.0,35.0,573912.0
Other,No bachelors,15,15,Engineering Manager,19.0,35.0,67548.0
Other,No bachelors,35,10,Other,4999.0,45.0,36000.0
Germany,No bachelors,11,5,Other,99.0,25.0,51888.0
United States of America,Bachelors,8,7,Front-end Developer,9999.0,25.0,86000.0
United States of America,Bachelors,16,11,Full-stack Developer,99.0,25.0,121000.0
Germany,No bachelors,14,6,Front-end Developer,499.0,25.0,49725.0
United Kingdom of Great Britain and Northern Ireland,No bachelors,37,34,Front-end Developer,99.0,45.0,96945.0
Canada,Bachelors,7,6,Full-stack Developer,19.0,18.0,49160.0
Germany,No bachelors,35,27,Engineering Manager,499.0,45.0,216196.0
Other,Bachelors,11,3,Front-end Developer,499.0,25.0,8328.0
United States of America,Bachelors,7,6,Full-stack Developer,99.0,35.0,59000.0
India,Bachelors,10,3,Front-end Developer,499.0,25.0,13962.0
Other,Bachelors,15,10,Full-stack Developer,99.0,35.0,31240.0
Spain,Bachelors,30,26,Other,499.0,45.0,29186.0
United States of America,Bachelors,17,10,Full-stack Developer,499.0,25.0,91000.0
United States of America,No bachelors,45,30,Front-end Developer,499.0,45.0,120000.0
United States of America,Bachelors,16,9,Full-stack Developer,99.0,25.0,210000.0
United States of America,Bachelors,10,0,Front-end Developer,499.0,18.0,8000.0
France,No bachelors,21,6,Front-end Developer,99.0,35.0,45509.0
Brazil,Bachelors,11,7,Front-end Developer,499.0,25.0,10992.0
Other,No bachelors,18,11,Front-end Developer,99.0,35.0,64859.0
Germany,No bachelors,10,6,Front-end Developer,499.0,18.0,45396.0
United States of America,Bachelors,11,6,Front-end Developer,4999.0,25.0,70000.0
Switzerland,Post-grad,10,2,Other,4999.0,35.0,81319.0
Australia,No bachelors,8,4,Full-stack Developer,19.0,25.0,54784.0
Canada,Bachelors,10,5,SRE or Devops,19.0,25.0,75631.0
Germany,Bachelors,18,13,Front-end Developer,499.0,35.0,50477.0
India,No bachelors,6,4,Front-end Developer,499.0,25.0,8376.0
Other,No bachelors,12,5,Front-end Developer,99.0,25.0,50400.0
United States of America,Bachelors,10,5,Front-end Developer,499.0,25.0,88900.0
United States of America,Bachelors,30,22,Front-end Developer,4999.0,35.0,135000.0
United States of America,No bachelors,40,36,Other,99.0,55.0,170000.0
United States of America,Bachelors,4,4,Full-stack Developer,499.0,25.0,55000.0
United States of America,No bachelors,6,1,Front-end Developer,99.0,25.0,30000.0
Germany,Post-grad,12,6,Academic Researcher,4999.0,25.0,70264.0
United States of America,Bachelors,5,4,Other,499.0,25.0,78811.0
Italy,No bachelors,10,10,Other,99.0,35.0,415092.0
United States of America,No bachelors,27,18,Front-end Developer,499.0,35.0,120000.0
Germany,No bachelors,24,15,Full-stack Developer,499.0,35.0,56424.0
Poland,No bachelors,19,7,Other,499.0,25.0,26280.0
Other,No bachelors,18,9,Full-stack Developer,19.0,35.0,22584.0
United States of America,No bachelors,20,15,Full-stack Developer,499.0,35.0,60000.0
United States of America,Bachelors,5,1,Front-end Developer,499.0,18.0,1680000.0
United States of America,Bachelors,26,16,Front-end Developer,4999.0,35.0,180000.0
Ukraine,No bachelors,22,15,Front-end Developer,99.0,35.0,41592.0
Canada,Bachelors,20,18,Front-end Developer,499.0,35.0,65799.0
United States of America,No bachelors,8,3,Full-stack Developer,19.0,18.0,720000.0
United States of America,Post-grad,41,18,Front-end Developer,499.0,45.0,143000.0
Sweden,No bachelors,15,5,Front-end Developer,99.0,25.0,45408.0
Brazil,Bachelors,12,10,Front-end Developer,4999.0,25.0,32988.0
