Country,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,Age,ConvertedCompYearly
Other,Bachelors,5,1,Front-end Developer,99.0,18.0,4620.0
United States of America,No bachelors,10,9,Front-end Developer,499.0,25.0,70000.0
Other,No bachelors,12,7,Front-end Developer,4999.0,25.0,91883.0
Russian Federation,No bachelors,3,2,Front-end Developer,499.0,25.0,30192.0
United States of America,No bachelors,10,5,Front-end Developer,499.0,25.0,90000.0
Other,Bachelors,20,20,Front-end Developer,499.0,35.0,21600.0
Netherlands,Bachelors,15,6,Front-end Developer,99.0,25.0,50592.0
India,Bachelors,10,1,Front-end Developer,19.0,18.0,1512.0
United States of America,No bachelors,9,2,Engineering Manager,4999.0,25.0,193000.0
United States of America,Bachelors,10,6,Full-stack Developer,499.0,25.0,2650000.0
Other,Bachelors,9,4,Full-stack Developer,499.0,25.0,28536.0
Australia,No bachelors,4,2,Data Scientist or ML Engr.,499.0,35.0,96874.0
United Kingdom of Great Britain and Northern Ireland,Bachelors,24,14,Front-end Developer,499.0,35.0,77556.0
Switzerland,No bachelors,28,22,Other,4999.0,35.0,121979.0
Russian Federation,Post-grad,15,9,Front-end Developer,499.0,25.0,75492.0
Russian Federation,Bachelors,31,26,Full-stack Developer,19.0,35.0,43404.0
Other,No bachelors,12,9,Data Scientist or ML Engr.,4999.0,35.0,75669.0
Other,Bachelors,6,2,Front-end Developer,499.0,18.0,22584.0
United Kingdom of Great Britain and Northern Ireland,Bachelors,14,7,Other,499.0,25.0,103408.0
France,No bachelors,15,5,Front-end Developer,19.0,25.0,44320.0
United States of America,Bachelors,30,22,Full-stack Developer,499.0,35.0,165000.0
Other,No bachelors,13,3,Full-stack Developer,4999.0,25.0,5268.0
Germany,No bachelors,10,5,Full-stack Developer,99.0,18.0,51888.0
Other,Bachelors,12,7,Front-end Developer,499.0,25.0,85500.0
France,No bachelors,12,9,Other,19.0,25.0,64859.0
Germany,No bachelors,6,3,Front-end Developer,4999.0,18.0,42158.0
Germany,Bachelors,18,7,Other,499.0,25.0,32424.0
United States of America,Bachelors,2,2,Other,4999.0,18.0,60000.0
France,Post-grad,16,12,Academic Researcher,499.0,35.0,35028.0
Other,No bachelors,9,3,Front-end Developer,4999.0,25.0,9084.0
Germany,Post-grad,13,8,Front-end Developer,4999.0,35.0,74588.0
Other,Bachelors,6,4,Front-end Developer,4999.0,25.0,33732.0
Other,No bachelors,13,8,Front-end Developer,9999.0,25.0,27852.0
United Kingdom of Great Britain and Northern Ireland,Bachelors,12,3,Front-end Developer,499.0,18.0,50153.0
India,No bachelors,15,11,Engineering Manager,499.0,25.0,30716.0
France,No bachelors,10,7,Front-end Developer,499.0,25.0,77831.0
Other,Bachelors,7,3,Front-end Developer,499.0,25.0,81624.0
Germany,No bachelors,6,2,Academic Researcher,19.0,18.0,54049.0
Other,Bachelors,10,2,Front-end Developer,19.0,18.0,10450.0
France,No bachelors,7,7,Front-end Developer,499.0,25.0,41077.0
Other,Bachelors,10,3,Full-stack Developer,19.0,25.0,45396.0
United Kingdom of Great Britain and Northern Ireland,No bachelors,4,2,Full-stack Developer,499.0,18.0,19389.0
France,No bachelors,24,15,Full-stack Developer,499.0,35.0,77831.0
United States of America,Bachelors,18,13,Other,499.0,35.0,160000.0
Israel,Bachelors,12,8,Front-end Developer,4999.0,25.0,200409.0
United States of America,Bachelors,20,9,Other,4999.0,25.0,107972.0
Other,Bachelors,9,7,Front-end Developer,99.0,25.0,66897.0
Other,No bachelors,5,0,Full-stack Developer,99.0,35.0,75000.0
United Kingdom of Great Britain and Northern Ireland,No bachelors,8,6,Full-stack Developer,499.0,25.0,48472.0
United States of America,Bachelors,24,16,Full-stack Developer,499.0,35.0,120000.0
Brazil,No bachelors,12,12,Front-end Developer,19.0,25.0,8796.0
Spain,No bachelors,9,5,Front-end Developer,99.0,25.0,32429.0
Spain,No bachelors,10,10,Other,499.0,25.0,12972.0
Spain,Bachelors,9,4,Full-stack Developer,499.0,25.0,28105.0
Other,No bachelors,30,20,Front-end Developer,499.0,45.0,77832.0
United Kingdom of Great Britain and Northern Ireland,Post-grad,10,4,Academic Researcher,99.0,25.0,51704.0
Other,Bachelors,23,23,Front-end Developer,99.0,35.0,18000.0
Other,Bachelors,6,1,Other,499.0,25.0,9231.0
Germany,Bachelors,25,15,Front-end Developer,499.0,35.0,70264.0
Other,Bachelors,5,2,Other,99.0,25.0,5388.0
United States of America,No bachelors,22,13,Full-stack Developer,499.0,25.0,115000.0
United States of America,Bachelors,21,12,Front-end Developer,499.0,25.0,144000.0
Other,No bachelors,14,4,Front-end Developer,4999.0,25.0,65508.0
Germany,No bachelors,31,21,Other,99.0,35.0,70264.0
Canada,No bachelors,44,34,Other,499.0,55.0,181515.0
Sweden,Bachelors,40,26,Front-end Developer,499.0,45.0,81000.0
United States of America,No bachelors,22,22,Other,99.0,35.0,105000.0
Germany,No bachelors,20,5,Full-stack Developer,4999.0,35.0,56211.0
United Kingdom of Great Britain and Northern Ireland,No bachelors,10,7,Software QA,499.0,25.0,64630.0
Turkey,Bachelors,4,3,Front-end Developer,499.0,18.0,35508.0
Germany,No bachelors,23,11,Front-end Developer,99.0,25.0,64859.0
United States of America,No bachelors,6,6,Front-end Developer,4999.0,25.0,5750000.0
United States of America,No bachelors,14,10,Other,4999.0,25.0,110000.0
United States of America,Bachelors,25,15,Front-end Developer,499.0,35.0,120000.0
Other,Bachelors,10,6,Front-end Developer,99.0,25.0,32604.0
Other,Bachelors,7,0,Data Scientist or ML Engr.,499.0,25.0,6360.0
Germany,No bachelors,11,6,Full-stack Developer,499.0,18.0,48644.0
Poland,No bachelors,17,11,Front-end Developer,499.0,25.0,54672.0
Netherlands,No bachelors,6,4,Front-end Developer,19.0,18.0,35676.0
Canada,Bachelors,18,4,Front-end Developer,499.0,25.0,75631.0
United States of America,No bachelors,41,39,Other,499.0,65.0,70000.0
Germany,No bachelors,14,9,Academic Researcher,499.0,25.0,58373.0
Other,Bachelors,4,3,Full-stack Developer,499.0,25.0,25944.0
India,Bachelors,4,2,Front-end Developer,499.0,18.0,5585.0
United States of America,No bachelors,15,4,Front-end Developer,499.0,25.0,58000.0
Germany,Bachelors,18,6,Front-end Developer,99.0,25.0,61616.0
France,Post-grad,20,13,Engineering Manager,19.0,35.0,59454.0
