Country,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,Age,ConvertedCompYearly
Sweden,Bachelors,7,0,Full-stack Developer,499.0,25.0,49092.0
Sweden,No bachelors,19,16,Full-stack Developer,99.0,35.0,58848.0
Sweden,Bachelors,14,11,Front-end Developer,99.0,25.0,61248.0
Sweden,No bachelors,17,7,Full-stack Developer,99.0,25.0,122736.0
Sweden,No bachelors,18,8,Front-end Developer,99.0,25.0,49092.0
Sweden,Bachelors,31,20,Front-end Developer,499.0,35.0,73644.0
Sweden,No bachelors,22,18,Front-end Developer,99.0,35.0,67502.0
Sweden,No bachelors,30,20,Front-end Developer,499.0,45.0,73644.0
Sweden,No bachelors,40,25,Front-end Developer,499.0,55.0,63816.0
Sweden,No bachelors,5,2,Front-end Developer,4999.0,18.0,42960.0
Sweden,Bachelors,30,23,Front-end Developer,499.0,45.0,61368.0
Sweden,Bachelors,11,8,Full-stack Developer,499.0,25.0,52776.0
Sweden,No bachelors,18,10,Front-end Developer,99.0,35.0,73644.0
Sweden,No bachelors,26,15,Front-end Developer,499.0,35.0,60144.0
Sweden,No bachelors,23,13,Front-end Developer,99.0,35.0,67500.0
Sweden,No bachelors,4,2,Front-end Developer,499.0,25.0,49092.0
Sweden,Bachelors,9,6,Full-stack Developer,499.0,25.0,60756.0
Sweden,Bachelors,21,12,Front-end Developer,99.0,35.0,77423.0
Sweden,Bachelors,20,11,Other,499.0,35.0,67500.0
Sweden,No bachelors,10,8,Front-end Developer,4999.0,25.0,56208.0
Sweden,Bachelors,8,1,Full-stack Developer,9999.0,18.0,39276.0
Sweden,No bachelors,17,12,Front-end Developer,9999.0,35.0,62592.0
Sweden,No bachelors,25,14,Front-end Developer,499.0,35.0,63084.0
Sweden,Bachelors,10,3,Full-stack Developer,499.0,18.0,42960.0
Sweden,No bachelors,8,6,Front-end Developer,499.0,35.0,50316.0
Sweden,No bachelors,20,15,Front-end Developer,19.0,25.0,51552.0
Sweden,No bachelors,18,11,Front-end Developer,99.0,25.0,52776.0
Sweden,No bachelors,24,21,Front-end Developer,19.0,35.0,79776.0
Sweden,Bachelors,7,0,Front-end Developer,4999.0,18.0,33756.0
Sweden,Bachelors,8,3,Front-end Developer,499.0,25.0,49092.0
Sweden,No bachelors,30,22,Full-stack Developer,4999.0,45.0,63816.0
Sweden,No bachelors,10,1,Front-end Developer,99.0,18.0,34368.0
Sweden,No bachelors,20,12,Front-end Developer,99.0,35.0,63204.0
Sweden,Bachelors,15,9,Front-end Developer,499.0,25.0,72408.0
Sweden,Bachelors,10,7,Other,499.0,35.0,55104.0
Sweden,Post-grad,20,10,Front-end Developer,499.0,35.0,61980.0
Sweden,No bachelors,10,6,Full-stack Developer,99.0,25.0,55224.0
Sweden,Post-grad,9,7,Full-stack Developer,99.0,35.0,51888.0
Sweden,No bachelors,13,3,Front-end Developer,499.0,25.0,67500.0
Sweden,No bachelors,17,8,Front-end Developer,499.0,25.0,55224.0
Sweden,Bachelors,14,10,Front-end Developer,99.0,35.0,66276.0
Sweden,No bachelors,10,4,Front-end Developer,499.0,25.0,58908.0
Sweden,No bachelors,14,4,Front-end Developer,19.0,25.0,42960.0
Sweden,No bachelors,10,1,Front-end Developer,1.0,18.0,16200.0
Sweden,No bachelors,34,24,Software QA,9999.0,35.0,57684.0
Sweden,No bachelors,3,2,Front-end Developer,19.0,25.0,44184.0
Sweden,No bachelors,11,5,Front-end Developer,99.0,25.0,57684.0
Sweden,Bachelors,21,16,Front-end Developer,499.0,35.0,82236.0
Sweden,No bachelors,14,11,Other,4999.0,35.0,92969.0
Sweden,No bachelors,20,13,Front-end Developer,99.0,35.0,47868.0
Sweden,No bachelors,10,3,Full-stack Developer,99.0,25.0,60144.0
Sweden,No bachelors,22,18,Software QA,9999.0,35.0,92052.0
Sweden,Bachelors,5,2,Front-end Developer,19.0,18.0,61368.0
Sweden,No bachelors,10,3,Data Scientist or ML Engr.,499.0,25.0,55224.0
Sweden,No bachelors,29,16,Front-end Developer,99.0,35.0,64440.0
Sweden,Bachelors,10,10,Front-end Developer,499.0,25.0,49092.0
Sweden,No bachelors,15,5,Front-end Developer,99.0,25.0,45408.0
Sweden,No bachelors,13,6,Other,499.0,25.0,44184.0
Sweden,No bachelors,15,16,Front-end Developer,99.0,55.0,58908.0
Sweden,No bachelors,35,26,Front-end Developer,99.0,45.0,92052.0
Sweden,No bachelors,20,14,Front-end Developer,19.0,25.0,81821.0
Sweden,No bachelors,13,6,Front-end Developer,99.0,25.0,42960.0
Sweden,No bachelors,27,18,Front-end Developer,99.0,35.0,67500.0
Sweden,Bachelors,20,10,Front-end Developer,19.0,25.0,42960.0
Sweden,No bachelors,7,4,SRE or Devops,4999.0,25.0,54000.0
Sweden,No bachelors,42,25,Front-end Developer,4999.0,45.0,51138.0
Sweden,Bachelors,20,0,Full-stack Developer,19.0,35.0,42960.0
Sweden,Bachelors,10,6,Full-stack Developer,4999.0,25.0,55224.0
Sweden,No bachelors,36,24,Front-end Developer,4999.0,45.0,81612.0
Sweden,No bachelors,30,18,Front-end Developer,499.0,35.0,67500.0
Sweden,No bachelors,11,5,Front-end Developer,99.0,25.0,49093.0
Sweden,Bachelors,3,0,Front-end Developer,19.0,25.0,30684.0
Sweden,No bachelors,16,9,Full-stack Developer,19.0,35.0,76092.0
Sweden,No bachelors,31,13,Front-end Developer,499.0,35.0,63816.0
Sweden,Bachelors,6,3,Front-end Developer,99.0,18.0,34980.0
Sweden,Bachelors,10,2,Front-end Developer,4999.0,25.0,59847.0
Sweden,No bachelors,15,10,Front-end Developer,99.0,25.0,57684.0
Sweden,Bachelors,20,15,Front-end Developer,99.0,45.0,71184.0
Sweden,No bachelors,12,1,Other,499.0,25.0,45408.0
Sweden,No bachelors,3,2,Front-end Developer,99.0,25.0,49092.0
Sweden,Bachelors,26,23,Full-stack Developer,499.0,45.0,67500.0
Sweden,No bachelors,5,3,Front-end Developer,99.0,25.0,38052.0
Sweden,Bachelors,2,1,Full-stack Developer,4999.0,25.0,42960.0
Sweden,No bachelors,11,0,Front-end Developer,4999.0,18.0,42348.0
Sweden,No bachelors,10,6,Front-end Developer,4999.0,25.0,68724.0
Sweden,No bachelors,8,0,Front-end Developer,19.0,25.0,41112.0
Sweden,Bachelors,6,3,Front-end Developer,499.0,25.0,47868.0
Sweden,Bachelors,11,7,Full-stack Developer,99.0,25.0,51552.0
Sweden,No bachelors,22,14,Front-end Developer,4999.0,35.0,92052.0
Sweden,No bachelors,30,22,Front-end Developer,9999.0,45.0,90816.0
Sweden,No bachelors,45,36,Other,499.0,55.0,73644.0
Sweden,Bachelors,7,5,Front-end Developer,499.0,25.0,51552.0
Sweden,No bachelors,9,3,Data Scientist or ML Engr.,99.0,25.0,49992.0
Sweden,Bachelors,12,6,Front-end Developer,9999.0,25.0,93276.0
Sweden,No bachelors,2,2,Engineering Manager,4999.0,25.0,54000.0
Sweden,No bachelors,22,17,Front-end Developer,4999.0,45.0,56460.0
Sweden,No bachelors,7,4,Front-end Developer,499.0,35.0,85908.0
Sweden,No bachelors,10,10,Full-stack Developer,499.0,35.0,57684.0
Sweden,No bachelors,16,6,Front-end Developer,4999.0,25.0,42956.0
Sweden,No bachelors,12,4,Front-end Developer,99.0,25.0,79776.0
Sweden,Bachelors,11,8,Full-stack Developer,99.0,35.0,56460.0
Sweden,Bachelors,12,10,Full-stack Developer,9999.0,25.0,73644.0
Sweden,No bachelors,18,18,Full-stack Developer,99.0,35.0,60504.0
Sweden,No bachelors,20,17,Other,19.0,35.0,67500.0
Sweden,Bachelors,7,5,Front-end Developer,99.0,25.0,46945.0
Sweden,Bachelors,15,10,Front-end Developer,9999.0,45.0,42960.0
Sweden,No bachelors,15,10,Front-end Developer,99.0,25.0,76092.0
Sweden,Bachelors,38,22,Full-stack Developer,9999.0,45.0,50316.0
Sweden,No bachelors,17,14,Front-end Developer,99.0,25.0,50928.0
Sweden,Post-grad,12,7,Data Scientist or ML Engr.,99.0,25.0,50316.0
Sweden,Bachelors,6,2,Front-end Developer,99.0,35.0,50568.0
Sweden,No bachelors,15,11,Front-end Developer,19.0,35.0,58908.0
Sweden,No bachelors,25,18,Front-end Developer,99.0,35.0,57684.0
Sweden,No bachelors,11,8,Full-stack Developer,99.0,25.0,67500.0
Sweden,Bachelors,13,10,Full-stack Developer,4999.0,35.0,58908.0
Sweden,Bachelors,9,7,Front-end Developer,99.0,25.0,57684.0
Sweden,No bachelors,35,25,Front-end Developer,499.0,45.0,73644.0
Sweden,No bachelors,13,6,Other,4999.0,25.0,83364.0
Sweden,No bachelors,14,7,Front-end Developer,4999.0,35.0,65052.0
Sweden,Bachelors,5,2,Front-end Developer,99.0,25.0,62592.0
Sweden,No bachelors,16,10,Front-end Developer,99.0,25.0,42960.0
Sweden,No bachelors,5,0,Front-end Developer,19.0,25.0,46024.0
Sweden,No bachelors,12,7,Front-end Developer,499.0,25.0,141144.0
Sweden,No bachelors,25,13,Front-end Developer,499.0,45.0,62964.0
Sweden,No bachelors,12,7,Front-end Developer,99.0,25.0,71184.0
Sweden,Bachelors,10,4,Front-end Developer,99.0,25.0,49704.0
Sweden,No bachelors,5,3,Other,9999.0,25.0,36816.0
Sweden,Bachelors,3,1,Front-end Developer,19.0,25.0,38664.0
Sweden,No bachelors,15,12,Full-stack Developer,499.0,35.0,61368.0
Sweden,No bachelors,20,7,Front-end Developer,99.0,25.0,57864.0
Sweden,No bachelors,25,21,Front-end Developer,4999.0,45.0,56460.0
Sweden,No bachelors,5,3,Front-end Developer,19.0,45.0,46632.0
Sweden,Bachelors,8,5,Front-end Developer,4999.0,25.0,63816.0
Sweden,No bachelors,40,30,Front-end Developer,499.0,45.0,101868.0
Sweden,No bachelors,11,5,Front-end Developer,99.0,25.0,58116.0
Sweden,Bachelors,39,24,Front-end Developer,19.0,45.0,61368.0
Sweden,No bachelors,5,1,Other,99.0,25.0,30684.0
Sweden,Bachelors,15,12,Full-stack Developer,19.0,25.0,54000.0
Sweden,No bachelors,20,11,Front-end Developer,499.0,35.0,61368.0
Sweden,No bachelors,20,14,Full-stack Developer,499.0,35.0,61368.0
Sweden,No bachelors,20,14,Front-end Developer,19.0,35.0,61368.0
Sweden,No bachelors,10,9,Front-end Developer,99.0,35.0,55224.0
Sweden,No bachelors,9,7,Front-end Developer,499.0,25.0,52164.0
Sweden,No bachelors,20,15,Front-end Developer,99.0,35.0,69960.0
Sweden,No bachelors,7,7,Full-stack Developer,1.0,35.0,63816.0
Sweden,No bachelors,27,20,Front-end Developer,99.0,35.0,74868.0
Sweden,Bachelors,12,6,Front-end Developer,99.0,25.0,61368.0
Sweden,Bachelors,4,3,Front-end Developer,499.0,25.0,52776.0
Sweden,Bachelors,10,6,Full-stack Developer,99.0,25.0,55224.0
Sweden,Bachelors,40,31,Full-stack Developer,499.0,45.0,65664.0
Sweden,No bachelors,5,5,Front-end Developer,19.0,35.0,55224.0
Sweden,Post-grad,34,34,Academic Researcher,9999.0,55.0,67500.0
Sweden,Post-grad,30,22,Full-stack Developer,499.0,45.0,67500.0
Sweden,No bachelors,38,28,Other,19.0,45.0,52776.0
Sweden,No bachelors,9,2,Front-end Developer,499.0,18.0,41724.0
Sweden,No bachelors,22,18,Front-end Developer,499.0,35.0,69960.0
Sweden,Post-grad,21,12,Academic Researcher,4999.0,35.0,52776.0
Sweden,Bachelors,2,0,Front-end Developer,99.0,25.0,55224.0
Sweden,Bachelors,30,20,Front-end Developer,4999.0,35.0,104316.0
Sweden,No bachelors,11,5,Front-end Developer,9999.0,25.0,62839.0
Sweden,No bachelors,25,15,Front-end Developer,99.0,35.0,98184.0
Sweden,No bachelors,10,3,Front-end Developer,4999.0,45.0,50316.0
Sweden,Bachelors,6,1,Front-end Developer,4999.0,18.0,48365.0
Sweden,No bachelors,39,35,Other,4999.0,45.0,85908.0
Sweden,No bachelors,28,6,Other,99.0,35.0,51552.0
Sweden,Bachelors,20,15,Other,9999.0,35.0,54000.0
Sweden,No bachelors,20,9,Other,99.0,25.0,49092.0
Sweden,No bachelors,15,10,Front-end Developer,19.0,35.0,56460.0
Sweden,Bachelors,13,12,Front-end Developer,99.0,25.0,67500.0
Sweden,No bachelors,25,20,Front-end Developer,99.0,35.0,61368.0
Sweden,Bachelors,24,15,Front-end Developer,19.0,25.0,61368.0
Sweden,No bachelors,15,11,Front-end Developer,4999.0,25.0,73639.0
