Country,UpperFence
Sweden,238764.29000000213
Spain,778308.0
Germany,1037736.0
Turkey,255091.1199999997
Canada,1594606.9199999943
France,846624.9599999968
Switzerland,1463748.0
UK,1318452.0
Russia,127017.59999999995
Israel,456288.50000000425
Ukraine,124376.4999999998
USA,4791499.999999996
Brazil,229069.0
Other,648588.0
Italy,843168.0
Netherlands,774027.2399999995
Poland,156549.1199999994
India,418852.0
Australia,2635648.9999999953
China,721377.6000000028
